         2283393 function calls (2174341 primitive calls) in 1050.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1309    0.002    0.000    0.007    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/client/session.py:379(_assert_fetchable)
     1685    0.003    0.000    0.007    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_shape.py:804(unknown_shape)
     2016    0.002    0.000    0.007    0.000 {method 'decode' of 'str' objects}
    28870    0.007    0.000    0.007    0.000 {method 'setdefault' of 'dict' objects}
     1323    0.006    0.000    0.006    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/dtypes.py:128(as_numpy_dtype)
     2269    0.002    0.000    0.006    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:458(EncodeField)
       11    0.001    0.000    0.006    0.001 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/ops/array_ops.py:725(_ConcatShape)
      518    0.003    0.000    0.006    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:687(EncodeRepeatedField)
     1309    0.003    0.000    0.006    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/ops/session_ops.py:229(_get_handle_feeder)
     3394    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
    17900    0.006    0.000    0.006    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:537(_GetFieldByName)
     2333    0.004    0.000    0.006    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:1475(type)
     2769    0.004    0.000    0.006    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/decoder.py:137(DecodeVarint)
     3794    0.004    0.000    0.006    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_shape.py:28(__init__)
     3244    0.003    0.000    0.005    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:92(iteritems)
     1645    0.002    0.000    0.005    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:249(append)
    11576    0.005    0.000    0.005    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:96(_SignedVarintSize)
     2151    0.001    0.000    0.005    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_shape.py:96(assert_is_compatible_with)
   1009/1    0.004    0.000    0.005    0.005 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1141(IsInitialized)
     2609    0.003    0.000    0.005    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:280(MergeFrom)
     1309    0.004    0.000    0.005    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:3424(is_fetchable)
        1    0.000    0.000    0.005    0.005 /usr/lib/python2.7/subprocess.py:650(__init__)
